[Line  512] RSP: (0.422983 seconds) 006f 00111 244.995 44.997
[Line  514] RSP: (0.439875 seconds) 0070 00112 244.995 44.997
[Line  516] RSP: (0.456768 seconds) 0071 00113 244.995 44.997
[Line  518] RSP: (0.473660 seconds) 0072 00114 244.995 44.997
[Line  520] RSP: (0.490552 seconds) 0073 00115 244.995 44.997
[Line  522] RSP: (0.507444 seconds) 0074 00116 244.995 44.997
[Line  524] RSP: (0.524336 seconds) 0075 00117 244.995 44.997
[Line  526] RSP: (0.541228 seconds) 0076 00118 244.995 44.997
[Line  528] RSP: (0.558120 seconds) 0077 00119 244.995 44.997
[Line  530] RSP: (0.575012 seconds) 0078 00120 244.995 44.997
[Line  532] RSP: (0.591904 seconds) 0079 00121 244.995 44.997
[Line  534] RSP: (0.608797 seconds) 007a 00122 244.995 44.997
[Line  536] RSP: (0.625689 seconds) 007b 00123 244.995 44.997
[Line  538] RSP: (0.642581 seconds) 007c 00124 244.995 44.997
[Line  540] RSP: (0.659473 seconds) 007d 00125 244.995 44.997
[Line  542] RSP: (0.676365 seconds) 007e 00126 244.995 44.997
[Line  544] RSP: (0.693257 seconds) 007f 00127 244.995 44.997
[Line  546] RSP: (0.710149 seconds) 0080 00128 244.995 44.997
[Line  548] RSP: (0.727041 seconds) 0081 00129 244.995 44.997
[Line  550] RSP: (0.743933 seconds) 0082 00130 244.995 44.997
[Line  552] RSP: (0.760825 seconds) 0083 00131 244.995 44.997
[Line  554] RSP: (0.777717 seconds) 0084 00132 244.995 44.997
[Line  556] RSP: (0.794608 seconds) 0085 00133 244.995 44.997
[Line  558] RSP: (0.811500 seconds) 0086 00134 244.995 44.997
[Line  560] RSP: (0.828392 seconds) 0087 00135 244.995 44.997
[Line  562] RSP: (0.845284 seconds) 0088 00136 244.995 44.997
[Line  564] RSP: (0.862176 seconds) 0089 00137 244.995 44.998
[Line  566] RSP: (0.879068 seconds) 008a 00138 244.995 44.998
[Line  568] RSP: (0.895960 seconds) 008b 00139 244.995 44.998
[Line  570] RSP: (0.912852 seconds) 008c 00140 244.995 44.998
[Line  572] RSP: (0.929744 seconds) 008d 00141 244.995 44.998
[Line  574] RSP: (0.946636 seconds) 008e 00142 244.995 44.998
[Line  576] RSP: (0.963528 seconds) 008f 00143 244.995 44.998
[Line  578] RSP: (0.980420 seconds) 0090 00144 244.995 44.998
[Line  580] RSP: (0.997313 seconds) 0091 00145 244.995 44.998
[Line  582] RSP: (0.014205 seconds) 0092 00146 244.995 44.998
[Line  584] RSP: (0.031097 seconds) 0093 00147 244.995 44.998
[Line  586] RSP: (0.047989 seconds) 0094 00148 244.995 44.998
[Line  588] RSP: (0.064881 seconds) 0095 00149 244.995 44.998
[Line  590] RSP: (0.081773 seconds) 0096 00150 244.995 44.998
[Line  592] RSP: (0.098664 seconds) 0097 00151 244.995 44.998
[Line  594] RSP: (0.115556 seconds) 0098 00152 244.995 44.998
[Line  596] RSP: (0.132448 seconds) 0099 00153 244.995 44.998
[Line  598] RSP: (0.149340 seconds) 009a 00154 244.995 44.998
[Line  600] RSP: (0.166232 seconds) 009b 00155 244.995 44.998
[Line  602] RSP: (0.183124 seconds) 009c 00156 244.995 44.998
[Line  604] RSP: (0.200016 seconds) 009d 00157 244.995 44.998
[Line  606] RSP: (0.216908 seconds) 009e 00158 244.995 44.998
[Line  608] RSP: (0.233800 seconds) 009f 00159 244.995 44.998
[Line  610] RSP: (0.250692 seconds) 00a0 00160 244.995 44.998
[Line  612] RSP: (0.267584 seconds) 00a1 00161 244.995 44.998
[Line  614] RSP: (0.284476 seconds) 00a2 00162 244.995 44.998
[Line  616] RSP: (0.301368 seconds) 00a3 00163 244.995 44.998
[Line  618] RSP: (0.318260 seconds) 00a4 00164 244.995 44.998
[Line  620] RSP: (0.335152 seconds) 00a5 00165 244.995 44.998
[Line  622] RSP: (0.352045 seconds) 00a6 00166 244.995 44.998
[Line  624] RSP: (0.368937 seconds) 00a7 00167 244.995 44.998
[Line  626] RSP: (0.385829 seconds) 00a8 00168 244.995 44.998
[Line  628] RSP: (0.402721 seconds) 00a9 00169 244.995 44.998
[Line  630] RSP: (0.419613 seconds) 00aa 00170 244.995 44.998
[Line  632] RSP: (0.436505 seconds) 00ab 00171 244.995 44.998
[Line  634] RSP: (0.453397 seconds) 00ac 00172 244.995 44.998
[Line  636] RSP: (0.470289 seconds) 00ad 00173 244.995 44.998
[Line  638] RSP: (0.487181 seconds) 00ae 00174 244.995 44.998
[Line  640] RSP: (0.504074 seconds) 00af 00175 244.995 44.998
[Line  642] RSP: (0.520966 seconds) 00b0 00176 244.995 44.998
[Line  644] RSP: (0.537858 seconds) 00b1 00177 244.995 44.998
[Line  646] RSP: (0.554751 seconds) 00b2 00178 244.995 44.998
